gene	gene_id	lof.oe_ci.upper	is_constrained
A1BG	ENSG00000121410	1.34	FALSE
A1CF	ENSG00000148584	0.825	FALSE
A2M	ENSG00000175899	0.765	FALSE
A2ML1	ENSG00000166535	0.953	FALSE
A3GALT2	ENSG00000184389	1.529	FALSE
A4GALT	ENSG00000128274	1.393	FALSE
A4GNT	ENSG00000118017	1.375	FALSE
AAAS	ENSG00000094914	0.921	FALSE
AACS	ENSG00000081760	0.967	FALSE
AADAC	ENSG00000114771	1.126	FALSE
AADACL2	ENSG00000197953	1.529	FALSE
AADACL3	ENSG00000188984	1.25	FALSE
AADACL4	ENSG00000204518	1.063	FALSE
AADAT	ENSG00000109576	0.625	FALSE
AAGAB	ENSG00000103591	1.156	FALSE
AAK1	ENSG00000115977	0.406	FALSE
AAMDC	ENSG00000087884	1.571	FALSE
AAMP	ENSG00000127837	0.372	TRUE
AANAT	ENSG00000129673	1.283	FALSE
AAR2	ENSG00000131043	1.472	FALSE
AARD	ENSG00000205002	1.719	FALSE
AARS1	ENSG00000090861	0.772	FALSE
AARS2	ENSG00000124608	0.752	FALSE
AARSD1	ENSG00000266967	1.122	FALSE
AASDH	ENSG00000157426	0.946	FALSE
AASDHPPT	ENSG00000149313	0.754	FALSE
AASS	ENSG00000008311	0.948	FALSE
AATF	ENSG00000275700	1.033	FALSE
AATK	ENSG00000181409	1.574	FALSE
ABAT	ENSG00000183044	0.871	FALSE
ABCA1	ENSG00000165029	0.563	FALSE
ABCA10	ENSG00000154263	1.044	FALSE
ABCA12	ENSG00000144452	0.582	FALSE
ABCA13	ENSG00000179869	1.063	FALSE
ABCA2	ENSG00000107331	0.436	FALSE
ABCA3	ENSG00000167972	0.612	FALSE
ABCA4	ENSG00000198691	0.786	FALSE
ABCA5	ENSG00000154265	0.97	FALSE
ABCA6	ENSG00000154262	1.041	FALSE
ABCA7	ENSG00000064687	1.368	FALSE
ABCA8	ENSG00000141338	1.086	FALSE
ABCA9	ENSG00000154258	1.006	FALSE
ABCB1	ENSG00000085563	0.575	FALSE
ABCB10	ENSG00000135776	1.142	FALSE
ABCB11	ENSG00000073734	0.739	FALSE
ABCB4	ENSG00000005471	0.623	FALSE
ABCB5	ENSG00000004846	1.178	FALSE
ABCB6	ENSG00000115657	0.984	FALSE
ABCB8	ENSG00000197150	0.894	FALSE
ABCB9	ENSG00000150967	0.796	FALSE
ABCC1	ENSG00000103222	0.564	FALSE
ABCC10	ENSG00000124574	0.894	FALSE
ABCC11	ENSG00000121270	1.004	FALSE
ABCC12	ENSG00000140798	1.022	FALSE
ABCC2	ENSG00000023839	0.985	FALSE
ABCC3	ENSG00000108846	0.831	FALSE
ABCC4	ENSG00000125257	0.647	FALSE
ABCC5	ENSG00000114770	0.455	FALSE
ABCC6	ENSG00000091262	0.917	FALSE
ABCC8	ENSG00000006071	0.829	FALSE
ABCC9	ENSG00000069431	0.557	FALSE
ABCD2	ENSG00000173208	0.714	FALSE
ABCD3	ENSG00000117528	0.484	FALSE
ABCD4	ENSG00000119688	0.772	FALSE
ABCE1	ENSG00000164163	0.466	FALSE
ABCF1	ENSG00000204574	0.69	FALSE
ABCF2	ENSG00000033050	0.61	FALSE
ABCF2-H2BE1	ENSG00000285292	0.633	FALSE
ABCF3	ENSG00000161204	0.776	FALSE
ABCG1	ENSG00000160179	0.573	FALSE
ABCG2	ENSG00000118777	1.308	FALSE
ABCG4	ENSG00000172350	0.694	FALSE
ABCG5	ENSG00000138075	1.219	FALSE
ABCG8	ENSG00000143921	1.329	FALSE
ABHD1	ENSG00000143994	1.359	FALSE
ABHD10	ENSG00000144827	1.037	FALSE
ABHD11	ENSG00000106077	1.194	FALSE
ABHD12	ENSG00000100997	0.967	FALSE
ABHD12B	ENSG00000131969	1.148	FALSE
ABHD13	ENSG00000139826	0.504	FALSE
ABHD14A	ENSG00000248487	1.081	FALSE
ABHD14A-ACY1	ENSG00000114786	0.949	FALSE
ABHD14B	ENSG00000114779	1.789	FALSE
ABHD15	ENSG00000168792	1.479	FALSE
ABHD16A	ENSG00000204427	0.686	FALSE
ABHD16B	ENSG00000183260	1.955	FALSE
ABHD17A	ENSG00000129968	0.783	FALSE
ABHD17B	ENSG00000107362	0.579	FALSE
ABHD17C	ENSG00000136379	0.919	FALSE
ABHD18	ENSG00000164074	1.028	FALSE
ABHD2	ENSG00000140526	0.57	FALSE
ABHD3	ENSG00000158201	1.211	FALSE
ABHD4	ENSG00000100439	1.038	FALSE
ABHD5	ENSG00000011198	0.922	FALSE
ABHD6	ENSG00000163686	1.067	FALSE
ABHD8	ENSG00000127220	0.664	FALSE
ABI1	ENSG00000136754	0.41	FALSE
ABI2	ENSG00000138443	0.585	FALSE
ABI3	ENSG00000108798	1.113	FALSE
ABI3BP	ENSG00000154175	0.945	FALSE
ABITRAM	ENSG00000119328	1.175	FALSE
ABL1	ENSG00000097007	0.19	TRUE
ABL2	ENSG00000143322	0.578	FALSE
ABLIM1	ENSG00000099204	0.515	FALSE
ABLIM2	ENSG00000163995	0.743	FALSE
ABLIM3	ENSG00000173210	0.691	FALSE
ABO	ENSG00000175164	1.416	FALSE
ABR	ENSG00000159842	0.431	FALSE
ABRA	ENSG00000174429	0.993	FALSE
ABRACL	ENSG00000146386	1.243	FALSE
ABRAXAS1	ENSG00000163322	1.347	FALSE
ABRAXAS2	ENSG00000165660	0.641	FALSE
ABT1	ENSG00000146109	1.2	FALSE
ABTB1	ENSG00000114626	1.003	FALSE
ABTB2	ENSG00000166016	0.733	FALSE
ACAA1	ENSG00000060971	1.199	FALSE
ACAA2	ENSG00000167315	1.148	FALSE
ACACA	ENSG00000278540	0.374	TRUE
ACACB	ENSG00000076555	0.843	FALSE
ACAD10	ENSG00000111271	1.05	FALSE
ACAD11	ENSG00000240303	1.01	FALSE
ACAD8	ENSG00000151498	1.11	FALSE
ACAD9	ENSG00000177646	0.884	FALSE
ACADL	ENSG00000115361	1.262	FALSE
ACADM	ENSG00000117054	1.072	FALSE
ACADS	ENSG00000122971	0.852	FALSE
ACADSB	ENSG00000196177	0.891	FALSE
ACADVL	ENSG00000072778	1.077	FALSE
ACAN	ENSG00000157766	0.377	TRUE
ACAP1	ENSG00000072818	0.579	FALSE
ACAP2	ENSG00000114331	0.47	FALSE
ACAP3	ENSG00000131584	0.816	FALSE
ACAT1	ENSG00000075239	0.798	FALSE
ACAT2	ENSG00000120437	0.99	FALSE
ACBD3	ENSG00000182827	0.634	FALSE
ACBD4	ENSG00000181513	1.09	FALSE
ACBD5	ENSG00000107897	0.734	FALSE
ACBD6	ENSG00000230124	1.037	FALSE
ACBD7	ENSG00000176244	1.515	FALSE
ACCS	ENSG00000110455	0.899	FALSE
ACCSL	ENSG00000205126	1.037	FALSE
ACD	ENSG00000102977	0.921	FALSE
ACE	ENSG00000159640	0.88	FALSE
ACER1	ENSG00000167769	1.411	FALSE
ACER2	ENSG00000177076	1.155	FALSE
ACER3	ENSG00000078124	0.815	FALSE
ACHE	ENSG00000087085	0.546	FALSE
ACIN1	ENSG00000100813	0.15	TRUE
ACKR1	ENSG00000213088	1.841	FALSE
ACKR2	ENSG00000144648	1.934	FALSE
ACKR3	ENSG00000144476	0.492	FALSE
ACKR4	ENSG00000129048	1.218	FALSE
ACLY	ENSG00000131473	0.401	FALSE
ACMSD	ENSG00000153086	1.063	FALSE
ACO1	ENSG00000122729	0.839	FALSE
ACO2	ENSG00000100412	0.489	FALSE
ACOD1	ENSG00000102794	1.53	FALSE
ACOT1	ENSG00000184227	1.531	FALSE
ACOT11	ENSG00000162390	1.088	FALSE
ACOT12	ENSG00000172497	0.92	FALSE
ACOT13	ENSG00000112304	1.452	FALSE
ACOT2	ENSG00000119673	1.191	FALSE
ACOT4	ENSG00000177465	1.586	FALSE
ACOT6	ENSG00000205669	1.96	FALSE
ACOT7	ENSG00000097021	0.468	FALSE
ACOT8	ENSG00000101473	1.096	FALSE
ACOX1	ENSG00000161533	0.67	FALSE
ACOX2	ENSG00000168306	0.914	FALSE
ACOX3	ENSG00000087008	1.114	FALSE
ACOXL	ENSG00000153093	1.239	FALSE
ACP1	ENSG00000143727	1.547	FALSE
ACP2	ENSG00000134575	0.804	FALSE
ACP3	ENSG00000014257	1.079	FALSE
ACP4	ENSG00000142513	1.413	FALSE
ACP5	ENSG00000102575	1.14	FALSE
ACP6	ENSG00000162836	1.313	FALSE
ACP7	ENSG00000183760	1.147	FALSE
ACR	ENSG00000100312	0.943	FALSE
ACRBP	ENSG00000111644	0.911	FALSE
ACRV1	ENSG00000134940	0.822	FALSE
ACSBG1	ENSG00000103740	0.594	FALSE
ACSBG2	ENSG00000130377	0.99	FALSE
ACSF2	ENSG00000167107	0.844	FALSE
ACSF3	ENSG00000176715	1.715	FALSE
